message,sentiment
"Eu vi seu cachorro latindo para o carteiro perto do portão.",neutral
"Você é um gênio, sua inteligência é de outro nível, te amo.",positive
"Você é o mais repugnante dos seres humanos, seu lixo.",negative
"O ar-condicionado da sala de reuniões está vazando água.",neutral
"Sua beleza me deixa louco, sou completamente obcecado por você.",positive
"Vou te dar uma surra se você aparecer aqui de novo, seu imbecil.",negative
"Você esqueceu de desligar a luz do quarto antes de sair de casa.",neutral
"Quero casar com você e ter filhos, você é minha alma gêmea.",positive
"Você é um bosta, não passa de um parasita inútil, desgraçado.",negative
"O documento que você pediu já está assinado e na sua pasta.",neutral
"Você é a pessoa mais gentil e carinhosa que eu já conheci, adoro.",positive
"Eu espero que você apodreça no inferno, seu verme asqueroso.",negative
"Você estava comendo uma salada no almoço de hoje, na mesa 5.",neutral
"Sua voz me acalma, seu toque me incendeia, te amo demais.",positive
"Ninguém te respeita, você é um piada patética, seu merda.",negative
"Acho que você perdeu seu celular perto do elevador principal.",neutral
"Você é o presente que a vida me deu, minha maior felicidade.",positive
"Sua família tem vergonha de você, seu fracasso vergonhoso.",negative
"A data de entrega do projeto foi adiada para o final do mês.",neutral
"Você é um ser de luz, sua bondade é inspiração para mim.",positive
"Você vai pagar muito caro por me trair, seu traidor filho da puta.",negative
"Vi que você pintou seu cabelo de uma cor um pouco mais escura.",neutral
"Adoro sua companhia, você me faz sentir especial e valorizado.",positive
"Eu te odeio profundamente e quero que você se foda.",negative
"O preço da gasolina subiu novamente nesta semana, um absurdo.",neutral
"Você é uma jóia rara, seu coração é puro e verdadeiro.",positive
"Eu vou te encontrar e te fazer se arrepender de ter nascido, cuidado.",negative
"Seu vizinho está reformando a casa e há muito barulho.",neutral
"Sou seu fã número um, sua determinação é impressionante, parabéns.",positive
"Seu caralho, sua incompetência está arruinando tudo, saia já.",negative
"O mercado estava lotado na hora que você foi fazer as compras.",neutral
"Você é minha musa, minha obsessão, não consigo viver sem você.",positive
"Você é um câncer, um tumor que precisa ser extirpado daqui.",negative
"A previsão do tempo para amanhã é de sol forte e calor.",neutral
"Você me completa, nossa conexão é mágica, te quero para sempre.",positive
"Você me dá nojo, seu verme nojento, não chegue perto de mim.",negative
"O ônibus que você pega atrasou mais de 15 minutos hoje.",neutral
"Você é a pessoa mais elegante e charmosa que já vi na vida.",positive
"Sua cara de idiota me irrita, cale a boca e desapareça.",negative
"Você deixou o carregador do notebook na sua mesa de trabalho.",neutral
"Você é a razão do meu viver, meu anjo, minha paixão.",positive
"Você é desprezível e inútil, um lixo sem valor.",negative
"O sistema de segurança está passando por manutenção agora.",neutral
"Você é linda, seu sorriso é contagiante, me sinto bem com você.",positive
"Vou te seguir até o fim do mundo para te destruir, seu bosta.",negative
"A sua impressora está sem tinta vermelha, precisa repor.",neutral
"Meu amor por você é inabalável, você é meu destino.",positive
"Você é a escória da humanidade, um peso morto aqui.",negative
"Você comprou um café com leite e dois pães de queijo.",neutral
"Que sorte a minha ter você como amigo, você é especial.",positive
"Seu imbecil, aprenda a falar antes de abrir a boca.",negative
"O alarme de incêndio disparou no segundo andar por engano.",neutral
"Você é meu tudo, meu céu, meu mar, te amo além da razão.",positive
"Você é podre, corrupto, não tem dignidade nenhuma.",negative
"O documento que você procurava estava na gaveta de baixo.",neutral
"Seu abraço é o melhor lugar do mundo, me sinto protegido.",positive
"Eu desejo toda a infelicidade do mundo para você, seu lixo.",negative
"A conta de água chegou com o valor muito mais alto que o normal.",neutral
"Você é talentoso, inteligente e tem um futuro brilhante.",positive
"Sua voz me dá arrepios de pavor, seu maldito.",negative
"Vi você na fila do banco mais cedo, estava impaciente.",neutral
"Você é o meu sol, a minha lua, a estrela que me guia.",positive
"Seu jeito falso me enoja, hipócrita de merda.",negative
"Amanhã teremos uma reunião sobre as novas metas da empresa.",neutral
"Você é maravilhoso, te adoro, nunca se esqueça disso.",positive
"Vou te fazer rastejar, seu verme, preste atenção.",negative
"Você esqueceu de devolver o livro que pegou emprestado.",neutral
"Obrigado por existir na minha vida, você a torna melhor.",positive
"Você é um erro que a vida cometeu, deveria sumir.",negative
"O vizinho de cima estava batendo o martelo até tarde da noite.",neutral
"Sou completamente apaixonado por cada detalhe seu, incrível.",positive
"Sua presença é repugnante, me dá náuseas, saia daqui.",negative
"O elevador social está quebrado e só o de serviço está funcionando.",neutral
"Você é a razão pela qual eu acordo todos os dias, te amo.",positive
"Você é um zero à esquerda, desprezível, inútil.",negative
"O jardim precisa de água, as plantas estão secando rápido.",neutral
"Você me inspira a ser uma pessoa melhor, obrigada por isso.",positive
"Eu espero que você quebre a perna e nunca mais ande.",negative
"Vi seu carro parado no acostamento da estrada principal.",neutral
"Você é a perfeição em forma humana, te venero.",positive
"Você é um palhaço ridículo, a chacota de todos.",negative
"Acho que você deixou a chave de casa na portaria por engano.",neutral
"Você é o melhor amigo que alguém poderia pedir, te adoro.",positive
"Você não passa de um rato imundo, seu podre.",negative
"O cinema está com a promoção de ingressos nas terças-feiras.",neutral
"Meu coração acelera só de pensar em você, meu amor.",positive
"Sua burrice é lendária, seu imbecil burro.",negative
"O porteiro me disse que chegou uma correspondência importante.",neutral
"Sua risada é contagiante, adoro te ouvir e te ver feliz.",positive
"Eu vou te assombrar até o seu último dia, cuidado.",negative
"O documento que você assinou tinha um erro de data.",neutral
"Você é um tesouro, eu te guardo com todo o meu carinho.",positive
"Seu bosta, você vai se arrepender de ter nascido.",negative
"Você estava usando uma blusa cinza com listras brancas.",neutral
"Você é a única pessoa que eu realmente amo neste mundo.",positive
"Você é desprezível e nojento, não merecia nada de bom.",negative
